
finished episode 18300, last recorded reward: -0.5100395039020383
finished episode 18400, last recorded reward: -0.3893712005209432
finished episode 18500, last recorded reward: -0.3803939527500877
finished episode 18600, last recorded reward: -0.3803939527500877
finished episode 18700, last recorded reward: -0.3803939527500877
finished episode 18800, last recorded reward: -0.3893712005209432
finished episode 18900, last recorded reward: -0.062124354473007126
finished episode 19000, last recorded reward: -0.062124354473007126
finished episode 19100, last recorded reward: -0.5100395039020383
finished episode 19200, last recorded reward: -0.15079688787696277
finished episode 19300, last recorded reward: -0.07522619684229181
finished episode 19400, last recorded reward: -0.3893712005209432
finished episode 19500, last recorded reward: -0.3893712005209432
finished episode 19600, last recorded reward: -0.3893712005209432
finished episode 19700, last recorded reward: -0.3803939527500877
finished episode 19800, last recorded reward: -0.15079688787696277
finished episode 19900, last recorded reward: -0.3893712005209432
finished episode 20000, last recorded reward: -0.062124354473007126
finished episode 20100, last recorded reward: -0.5100395039020383
finished episode 20200, last recorded reward: -0.3803939527500877
finished episode 20300, last recorded reward: -0.3803939527500877
finished episode 20400, last recorded reward: -0.15079688787696277
finished episode 20500, last recorded reward: -0.062124354473007126
finished episode 20600, last recorded reward: -0.3893712005209432
finished episode 20700, last recorded reward: -0.3803939527500877
finished episode 20800, last recorded reward: -0.07522619684229181
finished episode 20900, last recorded reward: -0.062124354473007126
finished episode 21000, last recorded reward: -0.3803939527500877
finished episode 21100, last recorded reward: -0.3803939527500877
finished episode 21200, last recorded reward: -0.3803939527500877
finished episode 21300, last recorded reward: -0.15079688787696277
finished episode 21400, last recorded reward: -0.3803939527500877
finished episode 21500, last recorded reward: -0.3803939527500877
finished episode 21600, last recorded reward: -0.3893712005209432
finished episode 21700, last recorded reward: -0.062124354473007126
finished episode 21800, last recorded reward: -0.3893712005209432
finished episode 21900, last recorded reward: -0.3893712005209432
finished episode 22000, last recorded reward: -0.062124354473007126
finished episode 22100, last recorded reward: -0.062124354473007126
finished episode 22200, last recorded reward: -6.810918664351867
finished episode 22300, last recorded reward: -0.3803939527500877
finished episode 22400, last recorded reward: -0.062124354473007126
finished episode 22500, last recorded reward: -0.3803939527500877
finished episode 22600, last recorded reward: -0.15079688787696277
finished episode 22700, last recorded reward: -0.062124354473007126
finished episode 22800, last recorded reward: -0.3893712005209432
finished episode 22900, last recorded reward: -0.07522619684229181
finished episode 23000, last recorded reward: -0.3803939527500877
finished episode 23100, last recorded reward: -0.3803939527500877
finished episode 23200, last recorded reward: -0.062124354473007126
finished episode 23300, last recorded reward: -0.3893712005209432
finished episode 23400, last recorded reward: -0.3803939527500877
finished episode 23500, last recorded reward: -0.062124354473007126
finished episode 23600, last recorded reward: -0.3893712005209432
finished episode 23700, last recorded reward: -0.15079688787696277
finished episode 23800, last recorded reward: -0.3893712005209432
finished episode 23900, last recorded reward: -0.062124354473007126
finished episode 24000, last recorded reward: -0.3893712005209432
finished episode 24100, last recorded reward: -0.3893712005209432
finished episode 24200, last recorded reward: -0.3803939527500877
finished episode 24300, last recorded reward: -0.3803939527500877
finished episode 24400, last recorded reward: -0.062124354473007126
finished episode 24500, last recorded reward: -0.3893712005209432
finished episode 24600, last recorded reward: -0.3803939527500877
finished episode 24700, last recorded reward: -0.062124354473007126
finished episode 24800, last recorded reward: -0.3893712005209432
finished episode 24900, last recorded reward: -0.15079688787696277
[34m[1mwandb[39m[22m: Network error resolved after 0:01:37.087357, resuming normal operation.
finished episode 25000, last recorded reward: -0.3803939527500877
finished episode 25100, last recorded reward: -0.3893712005209432
finished episode 25200, last recorded reward: -0.5100395039020383
finished episode 25300, last recorded reward: -0.062124354473007126
finished episode 25400, last recorded reward: -0.062124354473007126
finished episode 25500, last recorded reward: -0.062124354473007126
finished episode 25600, last recorded reward: -0.062124354473007126
finished episode 25700, last recorded reward: -0.3803939527500877
finished episode 25800, last recorded reward: -0.15079688787696277
finished episode 25900, last recorded reward: -0.07522619684229181
finished episode 26000, last recorded reward: -0.15079688787696277
finished episode 26100, last recorded reward: -0.15079688787696277
finished episode 26200, last recorded reward: -0.062124354473007126
finished episode 26300, last recorded reward: -0.3893712005209432
finished episode 26400, last recorded reward: -0.3893712005209432
finished episode 26500, last recorded reward: -0.3893712005209432
finished episode 26600, last recorded reward: -0.3893712005209432
finished episode 26700, last recorded reward: -0.3803939527500877
finished episode 26800, last recorded reward: -0.3803939527500877
finished episode 26900, last recorded reward: -0.5100395039020383
finished episode 27000, last recorded reward: -0.15079688787696277
finished episode 27100, last recorded reward: -0.3803939527500877
finished episode 27200, last recorded reward: -0.062124354473007126
finished episode 27300, last recorded reward: -0.062124354473007126
finished episode 27400, last recorded reward: -0.5100395039020383
finished episode 27500, last recorded reward: -0.5100395039020383
finished episode 27600, last recorded reward: -0.07522619684229181
finished episode 27700, last recorded reward: -0.062124354473007126
finished episode 27800, last recorded reward: -0.062124354473007126
finished episode 27900, last recorded reward: -0.062124354473007126
finished episode 28000, last recorded reward: -0.3893712005209432
finished episode 28100, last recorded reward: -0.062124354473007126
finished episode 28200, last recorded reward: -0.15079688787696277
finished episode 28300, last recorded reward: -0.3893712005209432
finished episode 28400, last recorded reward: -0.062124354473007126
finished episode 28500, last recorded reward: -0.3893712005209432
finished episode 28600, last recorded reward: -0.062124354473007126
finished episode 28700, last recorded reward: -0.5100395039020383
finished episode 28800, last recorded reward: -0.07522619684229181
finished episode 28900, last recorded reward: -0.07522619684229181
finished episode 29000, last recorded reward: -0.3893712005209432
finished episode 29100, last recorded reward: -0.3803939527500877
finished episode 29200, last recorded reward: -0.3893712005209432
finished episode 29300, last recorded reward: -0.3803939527500877
finished episode 29400, last recorded reward: -0.3803939527500877
finished episode 29500, last recorded reward: -0.3893712005209432
finished episode 29600, last recorded reward: -0.062124354473007126
finished episode 29700, last recorded reward: -0.5100395039020383
finished episode 29800, last recorded reward: -0.3893712005209432
finished episode 29900, last recorded reward: -0.062124354473007126
finished episode 30000, last recorded reward: -0.15079688787696277
===================== ALL DONE ~~ :) ===============================
