
finished episode 22800, last recorded reward: 2844.953900748249, last action : 47
finished episode 22900, last recorded reward: 671.8511553865513, last action : 86
finished episode 23000, last recorded reward: 671.8511553865513, last action : 84
finished episode 23100, last recorded reward: 671.8511553865513, last action : 78
finished episode 23200, last recorded reward: 671.8511553865513, last action : 96
finished episode 23300, last recorded reward: 671.8511553865513, last action : 93
finished episode 23400, last recorded reward: 671.8511553865513, last action : 83
finished episode 23500, last recorded reward: 671.8511553865513, last action : 89
finished episode 23600, last recorded reward: 671.8511553865513, last action : 77
finished episode 23700, last recorded reward: 671.8511553865513, last action : 92
finished episode 23800, last recorded reward: 671.8511553865513, last action : 100
finished episode 23900, last recorded reward: 671.8511553865513, last action : 98
finished episode 24000, last recorded reward: 671.8511553865513, last action : 80
finished episode 24100, last recorded reward: 671.8511553865513, last action : 96
finished episode 24200, last recorded reward: 671.8511553865513, last action : 96
finished episode 24300, last recorded reward: 671.8511553865513, last action : 87
finished episode 24400, last recorded reward: 671.8511553865513, last action : 94
finished episode 24500, last recorded reward: 671.8511553865513, last action : 91
finished episode 24600, last recorded reward: 671.8511553865513, last action : 96
finished episode 24700, last recorded reward: 671.8511553865513, last action : 98
finished episode 24800, last recorded reward: 671.8511553865513, last action : 97
finished episode 24900, last recorded reward: 671.8511553865513, last action : 98
finished episode 25000, last recorded reward: 671.8511553865513, last action : 97
finished episode 25100, last recorded reward: 671.8511553865513, last action : 93
finished episode 25200, last recorded reward: 671.8511553865513, last action : 91
finished episode 25300, last recorded reward: 671.8511553865513, last action : 93
finished episode 25400, last recorded reward: 671.8511553865513, last action : 95
finished episode 25500, last recorded reward: 671.8511553865513, last action : 95
finished episode 25600, last recorded reward: 671.8511553865513, last action : 96
finished episode 25700, last recorded reward: 671.8511553865513, last action : 99
finished episode 25800, last recorded reward: 671.8511553865513, last action : 98
finished episode 25900, last recorded reward: 671.8511553865513, last action : 93
finished episode 26000, last recorded reward: 671.8511553865513, last action : 96
finished episode 26100, last recorded reward: 671.8511553865513, last action : 97
finished episode 26200, last recorded reward: 671.8511553865513, last action : 98
finished episode 26300, last recorded reward: 671.8511553865513, last action : 98
finished episode 26400, last recorded reward: 671.8511553865513, last action : 98
finished episode 26500, last recorded reward: 671.8511553865513, last action : 99
finished episode 26600, last recorded reward: 671.8511553865513, last action : 98
finished episode 26700, last recorded reward: 671.8511553865513, last action : 99
finished episode 26800, last recorded reward: 671.8511553865513, last action : 97
finished episode 26900, last recorded reward: 671.8511553865513, last action : 96
finished episode 27000, last recorded reward: 671.8511553865513, last action : 98
finished episode 27100, last recorded reward: 671.8511553865513, last action : 99
finished episode 27200, last recorded reward: 671.8511553865513, last action : 97
finished episode 27300, last recorded reward: 671.8511553865513, last action : 99
finished episode 27400, last recorded reward: 671.8511553865513, last action : 97
finished episode 27500, last recorded reward: 671.8511553865513, last action : 99
finished episode 27600, last recorded reward: 671.8511553865513, last action : 98
finished episode 27700, last recorded reward: 671.8511553865513, last action : 98
finished episode 27800, last recorded reward: 671.8511553865513, last action : 99
finished episode 27900, last recorded reward: 671.8511553865513, last action : 99
finished episode 28000, last recorded reward: 671.8511553865513, last action : 92
finished episode 28100, last recorded reward: 671.8511553865513, last action : 97
finished episode 28200, last recorded reward: 671.8511553865513, last action : 99
finished episode 28300, last recorded reward: 671.8511553865513, last action : 97
finished episode 28400, last recorded reward: 671.8511553865513, last action : 99
finished episode 28500, last recorded reward: 671.8511553865513, last action : 97
finished episode 28600, last recorded reward: 671.8511553865513, last action : 89
finished episode 28700, last recorded reward: 671.8511553865513, last action : 92
finished episode 28800, last recorded reward: 671.8511553865513, last action : 97
